date,open,high,low,close
2016-10-13,4.31,4.42,4.29,4.4
2016-10-12,4.29,4.29,4.24,4.29
2016-10-11,4.31,4.32,4.26,4.3
2016-10-10,4.21,4.31,4.21,4.3
2016-09-30,4.18,4.21,4.16,4.19
2016-09-29,4.2,4.21,4.16,4.17
2016-09-28,4.24,4.25,4.17,4.19
2016-09-27,4.19,4.24,4.13,4.24
2016-09-26,4.37,4.37,4.2,4.21
2016-09-23,4.41,4.45,4.38,4.38
2016-09-22,4.42,4.45,4.38,4.39
2016-09-21,4.41,4.41,4.35,4.38
2016-09-20,4.41,4.49,4.39,4.42
2016-09-19,4.38,4.42,4.36,4.4
2016-09-14,4.42,4.44,4.33,4.37
2016-09-13,4.44,4.5,4.39,4.47
2016-09-12,4.4,4.49,4.36,4.41
2016-09-09,4.61,4.62,4.5,4.5
2016-09-08,4.56,4.65,4.46,4.63
2016-09-07,4.28,4.73,4.26,4.56
2016-09-06,4.15,4.34,4.1,4.29
2016-09-05,4.13,4.19,4.11,4.15
2016-09-02,4.1,4.15,4.09,4.11
2016-09-01,4.17,4.17,4.09,4.09
2016-08-31,4.19,4.21,4.14,4.16
2016-08-30,4.26,4.28,4.18,4.19
2016-08-29,4.18,4.34,4.15,4.29
2016-08-26,4.23,4.23,4.15,4.18
2016-08-25,4.24,4.28,4.18,4.2
2016-08-24,4.15,4.19,4.14,4.16
2016-08-23,4.16,4.17,4.11,4.15
2016-08-22,4.2,4.26,4.16,4.16
2016-08-19,4.17,4.22,4.14,4.18
2016-08-18,4.2,4.22,4.16,4.18
2016-08-17,4.18,4.28,4.14,4.19
2016-08-16,4.11,4.31,4.1,4.2
2016-08-15,4.05,4.17,4.03,4.13
2016-08-12,3.96,4.06,3.95,4.04
2016-08-11,4.0,4.0,3.96,3.97
2016-08-10,4.01,4.03,3.98,4.0
2016-08-09,3.95,4.06,3.93,4.02
2016-08-08,3.91,3.95,3.87,3.95
2016-08-05,3.91,3.94,3.89,3.91
2016-08-04,3.87,3.94,3.85,3.93
2016-08-03,3.87,3.9,3.85,3.88
2016-08-02,3.86,3.89,3.8,3.89
2016-08-01,3.91,3.92,3.85,3.87
2016-07-29,3.97,3.97,3.91,3.92
2016-07-28,3.92,3.96,3.9,3.95
2016-07-27,4.05,4.07,3.88,3.92
2016-07-26,4.01,4.06,3.99,4.05
2016-07-25,3.99,4.03,3.98,4.01
2016-07-22,4.05,4.06,3.99,3.99
2016-07-21,4.05,4.11,4.04,4.07
2016-07-20,4.05,4.07,4.03,4.06
2016-07-19,4.1,4.1,4.03,4.07
2016-07-18,4.07,4.14,4.03,4.1
2016-07-15,4.09,4.1,4.04,4.08
2016-07-14,4.11,4.11,4.06,4.08
2016-07-13,4.07,4.12,4.06,4.1
2016-07-12,3.99,4.07,3.96,4.06
2016-07-11,4.01,4.05,3.99,4.0
2016-07-08,4.02,4.05,3.99,4.02
