date,open,high,low,close
2016-10-13,3299.155,3307.409,3292.397,3302.645
2016-10-12,3299.138,3302.561,3289.753,3300.009
2016-10-11,3296.867,3308.004,3292.877,3306.557
2016-10-10,3265.364,3294.64,3258.958,3293.868
2016-09-30,3240.177,3260.94,3239.036,3253.284
2016-09-29,3234.857,3257.766,3234.803,3244.387
2016-09-28,3243.647,3243.647,3227.996,3230.89
2016-09-27,3214.87,3240.775,3214.441,3240.754
2016-09-26,3267.69,3267.69,3220.283,3220.283
2016-09-23,3292.278,3293.916,3275.025,3275.666
2016-09-22,3281.471,3303.199,3277.979,3291.121
2016-09-21,3257.709,3270.902,3254.321,3266.636
2016-09-20,3264.664,3265.035,3252.388,3257.403
2016-09-19,3242.742,3264.899,3242.742,3263.124
2016-09-14,3245.737,3254.995,3231.335,3238.729
2016-09-13,3265.337,3269.222,3246.385,3260.333
2016-09-12,3271.87,3276.716,3234.573,3262.604
2016-09-09,3339.373,3344.951,3318.044,3318.044
2016-09-08,3338.008,3343.395,3328.226,3339.564
2016-09-07,3344.065,3357.356,3337.75,3340.817
2016-09-06,3322.018,3347.951,3300.125,3342.625
2016-09-05,3321.005,3338.419,3314.629,3319.68
2016-09-02,3298.721,3320.425,3295.755,3314.114
2016-09-01,3326.738,3329.345,3301.212,3301.576
2016-08-31,3310.565,3333.972,3304.655,3327.793
2016-08-30,3310.318,3325.121,3304.596,3311.987
2016-08-29,3306.574,3315.078,3297.069,3307.781
2016-08-26,3312.499,3328.945,3301.735,3307.09
2016-08-25,3314.084,3315.081,3279.806,3308.972
2016-08-24,3341.93,3348.129,3323.725,3329.863
2016-08-23,3332.621,3359.647,3324.96,3341.829
2016-08-22,3364.681,3372.833,3335.469,3336.794
2016-08-19,3358.555,3374.045,3341.192,3365.019
2016-08-18,3369.947,3394.791,3349.687,3364.485
2016-08-17,3377.771,3394.388,3356.924,3373.047
2016-08-16,3403.383,3418.688,3372.02,3378.245
2016-08-15,3303.468,3417.914,3302.377,3393.423
2016-08-12,3231.806,3294.233,3231.136,3294.233
2016-08-11,3239.558,3274.026,3232.612,3233.36
2016-08-10,3255.182,3261.86,3242.75,3243.34
2016-08-09,3232.603,3257.333,3229.174,3256.981
2016-08-08,3199.572,3234.479,3187.252,3234.183
2016-08-05,3201.354,3224.873,3192.861,3205.11
2016-08-04,3190.546,3201.553,3170.418,3201.288
2016-08-03,3179.684,3197.157,3173.535,3193.507
2016-08-02,3173.757,3189.052,3165.542,3189.052
2016-08-01,3196.425,3199.975,3156.748,3176.809
2016-07-29,3217.192,3225.418,3198.683,3203.93
2016-07-28,3204.464,3235.781,3195.269,3221.136
2016-07-27,3270.083,3276.511,3157.409,3218.243
2016-07-26,3228.234,3269.745,3228.007,3269.588
2016-07-25,3220.165,3243.79,3218.141,3230.885
2016-07-22,3251.242,3253.769,3220.893,3225.162
2016-07-21,3238.336,3271.373,3238.303,3252.522
2016-07-20,3246.862,3254.507,3232.256,3237.605
2016-07-19,3260.434,3264.73,3226.198,3248.234
2016-07-18,3269.707,3281.637,3251.765,3262.022
2016-07-15,3278.835,3285.026,3265.29,3276.277
2016-07-14,3277.481,3281.95,3259.065,3276.763
2016-07-13,3274.02,3300.991,3271.775,3282.868
2016-07-12,3201.906,3273.473,3200.303,3273.182
2016-07-11,3199.038,3235.962,3197.625,3203.329
2016-07-08,3199.754,3204.928,3183.959,3192.28
2016-07-07,3206.55,3220.54,3190.123,3209.954
2016-07-06,3197.624,3217.515,3183.451,3216.803
2016-07-05,3199.157,3216.702,3197.995,3207.382
2016-07-04,3136.385,3210.601,3134.023,3204.696
2016-07-01,3156.932,3170.258,3148.294,3154.2
2016-06-30,3152.833,3163.72,3148.198,3153.921
2016-06-29,3142.484,3158.076,3139.132,3151.389
2016-06-28,3107.397,3139.43,3099.701,3136.401
2016-06-27,3065.128,3120.64,3064.966,3120.544
2016-06-24,3110.646,3130.539,3033.965,3077.155
2016-06-23,3129.72,3129.72,3102.481,3117.316
2016-06-22,3100.449,3134.06,3096.991,3133.961
2016-06-21,3124.898,3155.492,3097.94,3106.317
2016-06-20,3114.906,3118.725,3089.712,3112.674
2016-06-17,3096.09,3131.048,3096.09,3110.357
2016-06-16,3104.361,3112.475,3089.477,3094.674
2016-06-15,3043.957,3128.673,3042.232,3116.368
2016-06-14,3058.443,3078.749,3055.655,3075.983
2016-06-13,3134.045,3145.605,3065.767,3066.341
2016-06-08,3171.813,3174.971,3148.351,3163.986
2016-06-07,3182.437,3186.616,3168.179,3177.053
2016-06-06,3192.779,3197.22,3168.554,3178.788
2016-06-03,3172.946,3201.749,3162.088,3189.325
2016-06-02,3158.025,3168.824,3151.065,3167.099
2016-06-01,3172.961,3181.792,3159.817,3160.547
2016-05-31,3068.596,3170.926,3068.596,3169.559
2016-05-30,3056.313,3075.261,3037.664,3066.709
2016-05-27,3059.732,3073.756,3052.179,3062.499
2016-05-26,3056.6,3072.524,3027.444,3064.211
2016-05-25,3079.748,3089.102,3054.869,3059.225
2016-05-24,3083.244,3083.257,3052.59,3063.555
2016-05-23,3078.515,3098.478,3076.503,3087.222
2016-05-20,3047.777,3078.531,3041.516,3078.218
2016-05-19,3060.342,3086.977,3058.145,3062.5
